id,especie,latitude,longitude
RM00884,Cnemotriccus fuscatus,-22.548883,-47.850967
RM00885,Conopophaga lineata,-22.548883,-47.850967
RM00886,Pitangus sulphuratus,-22.548883,-47.850967
RM00887,Coereba flaveola,-22.548883,-47.850967
RM00888,Synallaxis ruficapilla,-22.548883,-47.850967
RM00889,Tachyphonus coronatus,-22.548883,-47.850967
RM00890,Turdus amaurochalinus,-22.548883,-47.850967
RM00950,Basileuterus culicivorus,-23.5838,-46.4627
RM01090,Vireo chivi,-23.87692,-46.660035
RM01176,Attila rufus,-23.868575,-46.713648
RM01178,Myiothlypis leucoblephara,-23.868575,-46.713648
RM01181,Cranioleuca pallida,-23.868575,-46.713648
RM01184,Lathrotriccus euleri,-23.868575,-46.713648
RM01185,Lochmias nematura,-23.868575,-46.713648
RM01186,Megarynchus pitangua,-23.868575,-46.713648
RM01187,Orchesticus abeillei,-23.868575,-46.713648
RM01188,Pachyramphus validus,-23.868575,-46.713648
RM01190,Pipraeidea melanonota,-23.868575,-46.713648
RM01192,Turdus flavipes,-23.868575,-46.713648
RM01193,Procnias nudicollis,-23.868575,-46.713648
RM01194,Saltator similis,-23.868575,-46.713648
RM01195,Synallaxis ruficapilla,-23.868575,-46.713648
RM01198,Lanio cristatus,-23.868575,-46.713648
RM01222,Megarynchus pitangua,-23.9364,-46.6789
RM01230,Pyroderus scutatus,-23.9364,-46.6789
RM01232,Schiffornis virescens,-23.9364,-46.6789
RM01317,Chiroxiphia caudata,-23.808654,-46.652424
RM01321,Hylophilus poicilotis,-23.808654,-46.652424
RM01329,Procnias nudicollis,-23.808654,-46.652424
RM01332,Schiffornis virescens,-23.808654,-46.652424
RM01336,Thamnophilus caerulescens,-23.808654,-46.652424
RM01341,Turdus amaurochalinus,-23.808654,-46.652424
RM01342,Turdus leucomelas,-23.808654,-46.652424
RM01841,Basileuterus culicivorus,-23.609705,-46.811648
RM01842,Coereba flaveola,-23.609705,-46.811648
RM01843,Cyclarhis gujanensis,-23.609705,-46.811648
RM01844,Euphonia chlorotica,-23.609705,-46.811648
RM01845,Procnias nudicollis,-23.609705,-46.811648
RM01846,Synallaxis ruficapilla,-23.609705,-46.811648
RM01847,Synallaxis spixi,-23.609705,-46.811648
RM01848,Trichothraupis melanops,-23.609705,-46.811648
RM01998,Vireo chivi,-23.662835,-46.660193
RM02005,Basileuterus culicivorus,-23.528304,-46.574127
RM02006,Myiothlypis leucoblephara,-23.528304,-46.574127
RM02007,Camptostoma obsoletum,-23.528304,-46.574127
RM02008,Coereba flaveola,-23.528304,-46.574127
RM02010,Cranioleuca pallida,-23.528304,-46.574127
RM02011,Cyclarhis gujanensis,-23.528304,-46.574127
RM02012,Hemithraupis ruficapilla,-23.528304,-46.574127
RM02013,Lathrotriccus euleri,-23.528304,-46.574127
RM02015,Synallaxis ruficapilla,-23.528304,-46.574127
RM02016,Tachyphonus coronatus,-23.528304,-46.574127
RM02018,Tityra cayana,-23.528304,-46.574127
RM02019,Tolmomyias sulphurescens,-23.528304,-46.574127
RM02020,Turdus amaurochalinus,-23.528304,-46.574127
RM02058,Vireo chivi,-23.5806,-46.7266
RM02087,Myiothlypis leucoblephara,-23.6625,-46.7738
RM02096,Myiarchus swainsoni,-23.6625,-46.7738
RM02097,Pachyramphus validus,-23.6625,-46.7738
RM02375,Attila rufus,-23.897598,-46.727299
RM02376,Automolus leucophthalmus,-23.897598,-46.727299
RM02377,Basileuterus culicivorus,-23.897598,-46.727299
RM02378,Myiothlypis leucoblephara,-23.897598,-46.727299
RM02379,Camptostoma obsoletum,-23.897598,-46.727299
RM02380,Carpornis cucullata,-23.897598,-46.727299
RM02381,Chiroxiphia caudata,-23.897598,-46.727299
RM02382,Coereba flaveola,-23.897598,-46.727299
RM02383,Cranioleuca pallida,-23.897598,-46.727299
RM02384,Cyclarhis gujanensis,-23.897598,-46.727299
RM02385,Dysithamnus mentalis,-23.897598,-46.727299
RM02386,Elaenia mesoleuca,-23.897598,-46.727299
RM02387,Euphonia pectoralis,-23.897598,-46.727299
RM02388,Hemitriccus orbitatus,-23.897598,-46.727299
RM02389,Leptopogon amaurocephalus,-23.897598,-46.727299
RM02390,Lochmias nematura,-23.897598,-46.727299
RM02391,Myiarchus swainsoni,-23.897598,-46.727299
RM02392,Myrmoderus squamosus,-23.897598,-46.727299
RM02393,Pachyramphus validus,-23.897598,-46.727299
RM02394,Setophaga pitiayumi,-23.897598,-46.727299
RM02395,Philydor rufum,-23.897598,-46.727299
RM02396,Phyllomyias fasciatus,-23.897598,-46.727299
RM02397,Pipraeidea melanonota,-23.897598,-46.727299
RM02398,Pitangus sulphuratus,-23.897598,-46.727299
RM02399,Poecilotriccus plumbeiceps,-23.897598,-46.727299
RM02400,Procnias nudicollis,-23.897598,-46.727299
RM02401,Pyriglena leucoptera,-23.897598,-46.727299
RM02402,Schiffornis virescens,-23.897598,-46.727299
RM02403,Sclerurus scansor,-23.897598,-46.727299
RM02404,Sittasomus griseicapillus,-23.897598,-46.727299
RM02405,Synallaxis ruficapilla,-23.897598,-46.727299
RM02406,Synallaxis spixi,-23.897598,-46.727299
RM02407,Tachyphonus coronatus,-23.897598,-46.727299
RM02408,Tangara desmaresti,-23.897598,-46.727299
RM02409,Thamnophilus caerulescens,-23.897598,-46.727299
RM02410,Tangara sayaca,-23.897598,-46.727299
RM02411,Tolmomyias sulphurescens,-23.897598,-46.727299
RM02412,Trichothraupis melanops,-23.897598,-46.727299
RM02413,Turdus rufiventris,-23.897598,-46.727299
RM02414,Vireo chivi,-23.897598,-46.727299
RM02415,Xiphorhynchus fuscus,-23.897598,-46.727299
RM03012,Saltator fuliginosus,-23.633333,-45.883333
RM03189,Tangara sayaca,-21.97575,-48.279967
RM03218,Xiphocolaptes albicollis,-25.333333,-51.25
RM03219,Lochmias nematura,-25.333333,-51.25
RM03220,Leptopogon amaurocephalus,-25.333333,-51.25
RM03221,Camptostoma obsoletum,-25.333333,-51.25
RM03222,Platyrinchus mystaceus,-25.333333,-51.25
RM03223,Pitangus sulphuratus,-25.333333,-51.25
RM03224,Megarynchus pitangua,-25.333333,-51.25
RM03225,Schiffornis virescens,-25.333333,-51.25
RM03226,Cyclarhis gujanensis,-25.333333,-51.25
RM03227,Turdus rufiventris,-25.333333,-51.25
RM03228,Pipraeidea melanonota,-25.333333,-51.25
RM03229,Setophaga pitiayumi,-25.333333,-51.25
RM03230,Basileuterus culicivorus,-25.333333,-51.25
RM03231,Myiothlypis leucoblephara,-25.333333,-51.25
RM03232,Myiothlypis rivularis,-25.333333,-51.25
RM03233,Cacicus chrysopterus,-25.333333,-51.25
RM04077,Anabazenops fuscus,-23.9574,-47.2428
RM04078,Attila rufus,-23.9574,-47.2428
RM04079,Automolus leucophthalmus,-23.9574,-47.2428
RM04080,Basileuterus culicivorus,-23.9574,-47.2428
RM04081,Myiothlypis leucoblephara,-23.9574,-47.2428
RM04082,Camptostoma obsoletum,-23.9574,-47.2428
RM04083,Carpornis cucullata,-23.9574,-47.2428
RM04084,Chamaeza campanisona,-23.9574,-47.2428
RM04085,Chamaeza meruloides,-23.9574,-47.2428
RM04086,Chiroxiphia caudata,-23.9574,-47.2428
RM04087,Coereba flaveola,-23.9574,-47.2428
RM04088,Conopophaga melanops,-23.9574,-47.2428
