id,especie,latitude,longitude
RN0854,Eleoscytalopus indigoticus,-19.883333,-43.35
RN0855,Dysithamnus mentalis,-19.883333,-43.35
RN0856,Drymophila ochropyga,-19.883333,-43.35
RN0857,Pyriglena leucoptera,-19.883333,-43.35
RN0858,Conopophaga lineata,-19.883333,-43.35
RN0859,Xenops rutilans,-19.883333,-43.35
RN0860,Sittasomus griseicapillus,-19.883333,-43.35
RN0861,Xiphorhynchus fuscus,-19.883333,-43.35
RN0862,Mionectes rufiventris,-19.883333,-43.35
RN0863,Leptopogon amaurocephalus,-19.883333,-43.35
RN0864,Poecilotriccus plumbeiceps,-19.883333,-43.35
RN0865,Tolmomyias sulphurescens,-19.883333,-43.35
RN0866,Platyrinchus mystaceus,-19.883333,-43.35
RN0867,Lathrotriccus euleri,-19.883333,-43.35
RN0868,Chiroxiphia caudata,-19.883333,-43.35
RN0869,Ilicura militaris,-19.883333,-43.35
RN0870,Tachyphonus coronatus,-19.883333,-43.35
RN0871,Trichothraupis melanops,-19.883333,-43.35
RN0872,Phaethornis squalidus,-19.883333,-43.35
RN0873,Thalurania glaucopis,-19.883333,-43.35
RN0874,Aphantochroa cirrochloris,-19.883333,-43.35
RN0875,Picumnus cirratus,-19.883333,-43.35
RN0876,Myiobius atricaudus,-19.883333,-43.35
RN0877,Manacus manacus,-19.883333,-43.35
RN0878,Basileuterus culicivorus,-19.883333,-43.35
RN0879,Hylophilus poicilotis,-19.883333,-43.35
RN0880,Drymophila ochropyga,-19.883333,-43.35
RN0881,Pyriglena leucoptera,-19.883333,-43.35
RN0882,Conopophaga lineata,-19.883333,-43.35
RN0883,Xiphorhynchus fuscus,-19.883333,-43.35
RN0884,Poecilotriccus plumbeiceps,-19.883333,-43.35
RN0885,Platyrinchus mystaceus,-19.883333,-43.35
RN0886,Lathrotriccus euleri,-19.883333,-43.35
RN0887,Amazilia lactea,-19.883333,-43.35
RN0888,Basileuterus culicivorus,-19.883333,-43.35
RN0889,Pyriglena leucoptera,-19.883333,-43.35
RN0890,Conopophaga lineata,-19.883333,-43.35
RN0891,Xiphorhynchus fuscus,-19.883333,-43.35
RN0892,Tolmomyias sulphurescens,-19.883333,-43.35
RN0893,Platyrinchus mystaceus,-19.883333,-43.35
RN0894,Lathrotriccus euleri,-19.883333,-43.35
RN0895,Chiroxiphia caudata,-19.883333,-43.35
RN0896,Ilicura militaris,-19.883333,-43.35
RN0897,Tachyphonus coronatus,-19.883333,-43.35
RN0898,Trichothraupis melanops,-19.883333,-43.35
RN0899,Phaethornis squalidus,-19.883333,-43.35
RN0900,Myrmoderus loricatus,-19.883333,-43.35
RN0901,Basileuterus culicivorus,-19.883333,-43.35
RN0902,Tangara cayana,-19.883333,-43.35
RN0903,Dysithamnus mentalis,-19.883333,-43.35
RN0904,Drymophila ochropyga,-19.883333,-43.35
RN0905,Pyriglena leucoptera,-19.883333,-43.35
RN0906,Synallaxis ruficapilla,-19.883333,-43.35
RN0907,Sittasomus griseicapillus,-19.883333,-43.35
RN0908,Xiphorhynchus fuscus,-19.883333,-43.35
RN0909,Tolmomyias sulphurescens,-19.883333,-43.35
RN0910,Platyrinchus mystaceus,-19.883333,-43.35
RN0911,Lathrotriccus euleri,-19.883333,-43.35
RN0912,Chiroxiphia caudata,-19.883333,-43.35
RN0913,Ilicura militaris,-19.883333,-43.35
RN0914,Basileuterus culicivorus,-19.883333,-43.35
RN0915,Trichothraupis melanops,-19.883333,-43.35
RN0916,Saltator similis,-19.883333,-43.35
RN0917,Thalurania glaucopis,-19.883333,-43.35
RN0918,Manacus manacus,-19.883333,-43.35
RN0919,Basileuterus culicivorus,-19.883333,-43.35
RN0920,Dysithamnus mentalis,-19.883333,-43.35
RN0921,Pyriglena leucoptera,-19.883333,-43.35
RN0922,Automolus leucophthalmus,-19.883333,-43.35
RN0923,Sittasomus griseicapillus,-19.883333,-43.35
RN0924,Platyrinchus mystaceus,-19.883333,-43.35
RN0925,Chiroxiphia caudata,-19.883333,-43.35
RN0926,Ilicura militaris,-19.883333,-43.35
RN0927,Phaethornis squalidus,-19.883333,-43.35
RN0928,Thalurania glaucopis,-19.883333,-43.35
RN0929,Myrmoderus loricatus,-19.883333,-43.35
RN0930,Synallaxis cinerascens,-19.883333,-43.35
RN0931,Corythopis delalandi,-19.883333,-43.35
RN0932,Geothlypis aequinoctialis,-19.883333,-43.35
RN0933,Basileuterus culicivorus,-19.883333,-43.35
RN0934,Dysithamnus mentalis,-19.883333,-43.35
RN0935,Drymophila ochropyga,-19.883333,-43.35
RN0936,Pyriglena leucoptera,-19.883333,-43.35
RN0937,Sittasomus griseicapillus,-19.883333,-43.35
RN0938,Xiphorhynchus fuscus,-19.883333,-43.35
RN0939,Leptopogon amaurocephalus,-19.883333,-43.35
RN0940,Platyrinchus mystaceus,-19.883333,-43.35
RN0941,Chiroxiphia caudata,-19.883333,-43.35
RN0942,Ilicura militaris,-19.883333,-43.35
RN0943,Schiffornis virescens,-19.883333,-43.35
RN0944,Basileuterus culicivorus,-19.883333,-43.35
RN0945,Trichothraupis melanops,-19.883333,-43.35
RN0946,Phaethornis pretrei,-19.883333,-43.35
RN0947,Florisuga fusca,-19.883333,-43.35
RN0948,Myrmoderus loricatus,-19.883333,-43.35
RN0949,Synallaxis cinerascens,-19.883333,-43.35
RN0950,Corythopis delalandi,-19.883333,-43.35
RN0951,Myiothlypis flaveola,-19.883333,-43.35
RN0952,Basileuterus culicivorus,-19.883333,-43.35
RN0953,Thamnophilus caerulescens,-19.883333,-43.35
RN0954,Pyriglena leucoptera,-19.883333,-43.35
RN0955,Automolus leucophthalmus,-19.883333,-43.35
RN0956,Sittasomus griseicapillus,-19.883333,-43.35
RN0957,Leptopogon amaurocephalus,-19.883333,-43.35
RN0958,Platyrinchus mystaceus,-19.883333,-43.35
RN0959,Chiroxiphia caudata,-19.883333,-43.35
RN0960,Ilicura militaris,-19.883333,-43.35
RN0961,Turdus rufiventris,-19.883333,-43.35
RN0962,Turdus leucomelas,-19.883333,-43.35
RN0963,Turdus albicollis,-19.883333,-43.35
RN0964,Hylophilus poicilotis,-19.883333,-43.35
RN0965,Tachyphonus coronatus,-19.883333,-43.35
RN0966,Trichothraupis melanops,-19.883333,-43.35
RN0967,Phaethornis squalidus,-19.883333,-43.35
RN0968,Amazilia lactea,-19.883333,-43.35
RN0969,Formicivora serrana,-19.883333,-43.35
RN0970,Myrmoderus loricatus,-19.883333,-43.35
RN0971,Elaenia obscura,-19.883333,-43.35
RN0972,Manacus manacus,-19.883333,-43.35
RN0973,Myiothlypis flaveola,-19.883333,-43.35
RN0974,Basileuterus culicivorus,-19.883333,-43.35
RN0975,Thamnophilus caerulescens,-19.883333,-43.35
RN0976,Dysithamnus mentalis,-19.883333,-43.35
RN0977,Pyriglena leucoptera,-19.883333,-43.35
RN0978,Conopophaga lineata,-19.883333,-43.35
RN0979,Automolus leucophthalmus,-19.883333,-43.35
RN0980,Sittasomus griseicapillus,-19.883333,-43.35
RN0981,Camptostoma obsoletum,-19.883333,-43.35
RN0982,Poecilotriccus plumbeiceps,-19.883333,-43.35
RN0983,Ilicura militaris,-19.883333,-43.35
RN0984,Turdus rufiventris,-19.883333,-43.35
RN0985,Turdus leucomelas,-19.883333,-43.35
RN0986,Turdus albicollis,-19.883333,-43.35
RN0987,Coereba flaveola,-19.883333,-43.35
RN0988,Saltator similis,-19.883333,-43.35
RN0989,Amazilia lactea,-19.883333,-43.35
RN0990,Thamnophilus ruficapillus,-19.883333,-43.35
RN0991,Herpsilochmus atricapillus,-19.883333,-43.35
