species,latitude,longitude
Canis familiaris,-19.72,-41.81
Leopardus pardalis,-19.72,-41.81
Puma concolor,-19.72,-41.81
Puma yagouaroundi,-19.72,-41.81
Eira barbara,-19.72,-41.81
Nasua nasua,-19.72,-41.81
Procyon cancrivorus,-19.72,-41.81
Cabassous tatouay,-19.72,-41.81
Dasypus novemcinctus,-19.72,-41.81
Sylvilagus brasiliensis,-19.72,-41.81
Hydrochoerus hydrochaeris,-19.72,-41.81
Cuniculus paca,-19.72,-41.81
Dasyprocta leporina,-19.72,-41.81
Cerdocyon thous,-19.72,-41.81
Leopardus sp.,-19.72,-41.81
Euphractus sexcinctus,-19.72,-41.81
Tamandua tetradactyla,-19.72,-41.81
Mazama sp.,-23.84,-48.38
Pecari tajacu,-23.84,-48.38
Cerdocyon thous,-23.84,-48.38
Eira barbara,-23.84,-48.38
Nasua nasua,-23.84,-48.38
Dasypus novemcinctus,-23.84,-48.38
Didelphis sp.,-23.84,-48.38
Myrmecophaga tridactyla,-23.84,-48.38
Tamandua tetradactyla,-23.84,-48.38
Dasyprocta azarae,-23.84,-48.38
Cerdocyon thous,-21.72,-47.54
Chrysocyon brachyurus,-21.72,-47.54
Leopardus pardalis,-21.72,-47.54
Leopardus guttulus,-21.72,-47.54
Puma concolor,-21.72,-47.54
Puma yagouaroundi,-21.72,-47.54
Conepatus semistriatus,-21.72,-47.54
Eira barbara,-21.72,-47.54
Nasua nasua,-21.72,-47.54
Mazama gouazoubira,-27.94,-53.3
Cerdocyon thous,-27.94,-53.3
Leopardus guttulus,-27.94,-53.3
Nasua nasua,-27.94,-53.3
Procyon cancrivorus,-27.94,-53.3
Dasypus novemcinctus,-27.94,-53.3
Didelphis albiventris,-27.94,-53.3
Pecari tajacu,-20.69,-42.46
Canis familiaris,-20.69,-42.46
Leopardus pardalis,-20.69,-42.46
Leopardus wiedii,-20.69,-42.46
Puma concolor,-20.69,-42.46
Eira barbara,-20.69,-42.46
Nasua nasua,-20.69,-42.46
