id,especie,latitude,longitude
Agostini_etal_10,Alouatta guariba,-27.15,-53.9
Agostini_etal_11,Alouatta guariba,-26.51,-53.99
Agostini_etal_21,Sapajus nigritus,-25.51,-54.12
Agostini_etal_22,Sapajus nigritus,-25.6,-54.09
Agostini_etal_23,Sapajus nigritus,-26.513549,-53.991673
Agostini_etal_24,Sapajus nigritus,-27.15,-53.9
Agostini_etal_25,Sapajus nigritus,-26.83277778,-54.90944444
Agostini_etal_26,Sapajus nigritus,-26.52093333,-53.99003333
Agostini_etal_27,Sapajus nigritus,-26.89868333,-53.88863333
Agostini_etal_28,Sapajus nigritus,-26.74073333,-53.9124
Agostini_etal_29,Sapajus nigritus,-26.94533333,-54.2377
Agostini_etal_30,Sapajus nigritus,-26.9837,-54.1761
Agostini_etal_31,Sapajus nigritus,-27.1562,-53.90186667
Agostini_etal_32,Sapajus nigritus,-26.86963333,-54.22753333
Agostini_etal_33,Sapajus nigritus,-26.60163333,-53.73243333
Agostini_etal_34,Sapajus nigritus,-26.48731667,-54.03126667
Agostini_etal_35,Sapajus nigritus,-27.02021667,-54.14623333
Agostini_etal_36,Alouatta guariba,-26.52093333,-53.99003333
Agostini_etal_37,Alouatta guariba,-26.46593333,-53.92113333
Agostini_etal_38,Alouatta guariba,-26.48256667,-53.91268333
Agostini_etal_39,Alouatta guariba,-26.9837,-54.1761
Agostini_etal_40,Alouatta guariba,-26.42798333,-53.84446667
Agostini_etal_41,Alouatta guariba,-26.55716667,-54.06846667
Agostini_etal_42,Alouatta guariba,-27.01938333,-54.15426667
Agostini_etal_43,Alouatta guariba,-27.15296667,-53.9016
Agostini_etal_44,Alouatta guariba,-26.68777778,-54.265
Agostini_etal_45,Alouatta guariba,-26.42798333,-53.84446667
Agostini_etal_46,Alouatta caraya,-26.42798333,-53.84446667
Agostini_etal_47,Sapajus nigritus,-26.42798333,-53.84446667
Agostini_etal_48,Alouatta guariba,-26.73776667,-53.91536667
Agostini_etal_49,Sapajus nigritus,-26.73776667,-53.91536667
Agostini_etal_5,Alouatta caraya,-26.98,-54.15
Agostini_etal_50,Sapajus nigritus,-26.42798333,-53.84446667
Agostini_etal_51,Sapajus nigritus,-26.5569,-53.93641667
Agostini_etal_52,Sapajus nigritus,-26.58121667,-53.94751667
Agostini_etal_53,Sapajus nigritus,-26.61183333,-53.7452
Agostini_etal_54,Sapajus nigritus,-26.59618333,-53.85011667
Agostini_etal_55,Alouatta caraya,-26.59618333,-53.85011667
Agostini_etal_56,Alouatta caraya,-26.82838333,-53.90011667
Agostini_etal_57,Sapajus nigritus,-26.82838333,-53.90011667
Agostini_etal_58,Sapajus nigritus,-27.29713333,-54.19675
Agostini_etal_59,Sapajus nigritus,-27.27475,-54.22475
Agostini_etal_6,Alouatta caraya,-26.43,-54.49
Agostini_etal_60,Alouatta caraya,-27.27475,-54.22475
Agostini_etal_61,Sapajus nigritus,-27.20276667,-54.02411667
Agostini_etal_62,Sapajus nigritus,-27.0322,-54.1119
Agostini_etal_63,Sapajus nigritus,-26.92725,-54.25023333
Agostini_etal_64,Sapajus nigritus,-26.82711667,-53.92715
Agostini_etal_67,Alouatta caraya,-25.912185,-54.421535
Agostini_etal_68,Alouatta caraya,-27.449232,-55.71635
Agostini_etal_7,Alouatta caraya,-25.58,-54.07
Agostini_etal_8,Alouatta caraya,-25.51,-54.12
Agostini_etal_9,Alouatta guariba,-26.88,-54.23
Almeida_AS_plan_1_1,Brachyteles hypoxanthus,-22.2558,-44.3628
Almeida_AS_plan_1_100,Brachyteles hypoxanthus,-19.5,-41.5
Almeida_AS_plan_1_101,Brachyteles hypoxanthus,-19.5,-41.5
Almeida_AS_plan_1_102,Brachyteles hypoxanthus,-19.5,-41.5
Almeida_AS_plan_1_103,Brachyteles hypoxanthus,-19.5,-41.5
Almeida_AS_plan_1_105,Callithrix jacchus,-8.3252,-35.1144
Almeida_AS_plan_1_106,Callithrix jacchus,-8.3235,-35.1104
Almeida_AS_plan_1_107,Callithrix jacchus,-8.3224,-35.1133
Almeida_AS_plan_1_122,Callicebus nigrifrons,-21.14,-44.19
Almeida_AS_plan_1_123,Callithrix penicillata,-21.14,-44.19
